Identifier	label	type	Category	Group	NumTargets
DB01102	Arbutamine	Drug	Amines, Protective Agents, Agents producing tachycardia, Catechols, Adrenergic and Dopaminergic Agents, Cardiovascular Agents, Adrenergic beta-2 Receptor Agonists, Cardiotonic Agents, Adrenergic beta-Agonists, Neurotransmitter Agents, Adrenergic Agonists, Cardiac Stimulants Excl. Cardiac Glycosides, Adrenergic beta-1 Receptor Agonists, Agents that produce hypertension, Phenols, Cardiac Therapy, Compounds used in a research, industrial, or household setting, Adrenergic Agents, Adrenergic beta-3 Receptor Agonists, Benzene Derivatives	approved	3
DB01109	Heparin	Drug	Anticoagulants, Carbohydrates, Miscellaneous Therapeutic Agents, Blood and Blood Forming Organs, Glycosaminoglycans, Fibrin Modulating Agents, Heparin Group, Agents causing hyperkalemia, Hematologic Agents, Cardiovascular Agents, Heparins or Heparinoids for Topical Use, Thyroxine-binding globulin substrates, Ophthalmologicals, Vasoprotectives, Polysaccharides, Narrow Therapeutic Index Drugs, Antivaricose Therapy, Heparin and similars, Sensory Organs	approved, investigational	12
DB01108	Trilostane	Drug	Enzyme Inhibitors, Cytochrome P-450 Substrates, Immunosuppressive Agents, Adrenal Cortex Hormones, Hormones, Cytochrome P-450 CYP3A4 Substrates, Fused-Ring Compounds, Abortifacient Agents, Steroidal, Anticorticosteroids, Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins, Gonadal Hormones, Androstanols, Corticosteroids for Systemic Use, Corticosteroids, Hormones, Hormone Substitutes, and Hormone Antagonists, Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index, Reproductive Control Agents, Antineoplastic Agents, 3-Hydroxysteroid Dehydrogenases, antagonists & inhibitors, Oxidative Phosphorylation Coupling Factors, Gonadal Steroid Hormones, Androstanes, Narrow Therapeutic Index Drugs, Abortifacient Agents, Cytochrome P-450 CYP3A Substrates, Testosterone Congeners, Antiadrenal Preparations, Steroids	approved, investigational, withdrawn, vet_approved	4
DB02438	3-O-Methylfructose in Linear Form	Drug	0	experimental	1
DB01107	Methyprylon	Drug	Psycholeptics, Nervous System, Piperidinedione Derivatives, Central Nervous System Depressants, Piperidines, Hypnotics and Sedatives	approved, illicit, withdrawn	2
DB02437	(5r)-5-Amino-6-Hydroxyhexylcarbamic Acid	Drug	0	experimental	3
DB01106	Levocabastine	Drug	QTc Prolonging Agents, Anti-Allergic Agents, Decongestants and Antiallergics, Ophthalmologicals, Neurotransmitter Agents, Histamine H1 Antagonists, Histamine H1 Antagonists, Non-Sedating, Nasal Preparations, Histamine Antagonists, Central Nervous System Depressants, Antiallergic Agents, Excl. Corticosteroids, Potential QTc-Prolonging Agents, Sensory Organs, Histamine Agents	approved, investigational	2
DB03768	N-[2-Hydroxy-2-(8-Isopropyl-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-11-Yl)-Ethyl]-N-(3-Methyl-Butyl)-Benzenesulfonamide,Inhibitor 3	Drug	0	experimental	1
DB03769	D-Eritadenine	Drug	Heterocyclic Compounds, Fused-Ring, Purines, Enzyme Inhibitors	experimental	1
DB14421	Influenza B virus B/Utah/9/2014 hemagglutinin antigen (MDCK cell derived, propiolactone inactivated)	Drug	0	approved	0
DB14422	Influenza A virus A/Michigan/45/2015 X-275 (H1N1) hemagglutinin antigen (formaldehyde inactivated)	Drug	0	approved	0
DB14420	Influenza A virus A/South Australia/55/2014 (H3N2) hemagglutinin antigen (MDCK cell derived, propiolactone inactivated)	Drug	0	approved	0
DB14425	Influenza A virus A/Slovenia/2903/2015 (H1N1) live (attenuated) antigen	Drug	0	approved	0
DB14426	Influenza A virus A/New caledonia/71/2014 (H3N2) live (attenuated) antigen	Drug	0	approved	0
DB14423	Influenza A virus A/Michigan/45/2015 (H1N1) recombinant hemagglutinin antigen	Drug	0	approved	0
DB14424	Influenza A virus A/Hong Kong/4801/2014 X-263B (H3N2) hemagglutinin antigen (propiolactone inactivated)	Drug	0	approved	0
DB14429	Neisseria meningitidis group w-135 capsular oligosaccharide diphtheria crm197 protein conjugate antigen	Drug	Actively Acquired Immunity, Inactivated Meningococcal Vaccine	approved	0
DB14427	Neisseria meningitidis group a capsular oligosaccharide diphtheria crm197 protein conjugate antigen	Drug	Actively Acquired Immunity, Inactivated Meningococcal Vaccine	approved	0
DB03770	N-hydroxyguanidine	Drug	Antineoplastic Agents, Amidines, Antiviral Agents, Anti-Infective Agents	experimental	0
DB14428	Neisseria meningitidis group c capsular oligosaccharide diphtheria crm197 protein conjugate antigen	Drug	Actively Acquired Immunity, Inactivated Meningococcal Vaccine	approved	0
DB03775	Dethiobiotin	Drug	Immunologic Factors, Coenzymes, Imidazoles, Immunosuppressive Agents, Enzymes and Coenzymes, Mitosis Modulators, Mitogens	experimental	3
DB01112	Cefuroxime	Drug	Nephrotoxic agents, Second-Generation Cephalosporins, Amides, Lactams, Thiazines, beta-Lactams, Antiinfectives for Systemic Use, Anti-Infective Agents, Ophthalmologicals, Heterocyclic Compounds, Fused-Ring, Anti-Bacterial Agents, Sulfur Compounds, Cephalosporins, Sensory Organs, Antibacterials for Systemic Use	approved	1
DB02443	Methicillin Acyl-Serine	Drug	0	experimental	1
DB02442	Dioxyselenocysteine	Drug	Selenium Compounds	experimental	1
DB03776	Lactaldehyde	Drug	0	experimental	0
DB01111	Colistimethate	Drug	Nephrotoxic agents, Peptides, Antimicrobial Cationic Peptides, Amino Acids, Peptides, and Proteins, Lipids, Agents that produce neuromuscular block (indirect), Membrane Proteins, Peptides, Cyclic, Proteins, Polymyxin-class Antibacterial, Pore Forming Cytotoxic Proteins, Lipopeptides, Polymyxins	approved, vet_approved	1
DB02441	2-Butyl-5,6-Dihydro-1h-Imidazo[4,5-D]Pyridazine-4,7-Dione	Drug	0	experimental	1
DB01110	Miconazole	Drug	Cytochrome P-450 CYP2D6 Inhibitors, Enzyme Inhibitors, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 CYP2C9 Inhibitors (strong), Cytochrome P-450 CYP3A4 Inhibitors (moderate), Genito Urinary System and Sex Hormones, Otologicals, Antifungals for Dermatological Use, Cytochrome P-450 CYP2C19 Inhibitors, Cytochrome P-450 CYP2A6 Inhibitors, Cytochrome P-450 CYP2C9 Inhibitors (moderate), Cytochrome P-450 CYP2B6 Inhibitors, Anti-Infective Agents, Cytochrome P-450 CYP2A6 Inhibitors (strong), Cytochrome P-450 CYP2E1 Inhibitors (strong), Antiinfectives and Antiseptics for Local Oral Treatment, Intestinal Antiinfectives, Antifungals for Topical Use, Cytochrome P-450 CYP2C9 Inhibitors, Antifungal Agents, Vaginal Creams, Foams, and Jellies, Cytochrome P-450 CYP2D6 Inhibitors (strength unknown), Hormone Antagonists, Cytochrome P-450 CYP2C8 Inhibitors (strength unknown), Steroid Synthesis Inhibitors, Chemically-Induced Disorders, Cytochrome P-450 CYP2E1 Inhibitors, Hormones, Hormone Substitutes, and Hormone Antagonists, Cytochrome P-450 CYP2C8 Inhibitors, Gynecological Antiinfectives and Antiseptics, Dermatologicals, Cytochrome P-450 CYP2C19 Inhibitors (strong), Azole Antifungals, Cytochrome P-450 CYP3A Inhibitors, Imidazoles, Cytochrome P-450 CYP2C19 inhibitors (strength unknown), Cytochrome P-450 CYP3A4 Inhibitors, Antifungal Agents (Vaginal), Imidazole and Triazole Derivatives, Imidazole Derivatives, Sensory Organs, Cytochrome P-450 CYP2B6 Inhibitors (strength unknown), P-glycoprotein inhibitors, 14-alpha Demethylase Inhibitors, Stomatological Preparations	approved, investigational, vet_approved	8
DB03777	Bisindolylmaleimide I	Drug	Acids, Acyclic, Heterocyclic Compounds, Fused-Ring, Maleates, Enzyme Inhibitors, Anti-Inflammatory Agents, Dicarboxylic Acids, Imides, Protein Kinase C, antagonists & inhibitors	experimental	3
DB03771	Allyl-{4-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-but-2-Enyl}-Methyl-Amine	Drug	0	experimental	1
DB01116	Trimethaphan	Drug	Autonomic Agents, Ganglion Blockers, Cardiovascular Agents, Nicotinic Antagonists, Antiadrenergic Agents, Ganglion-Blocking, Peripheral Nervous System Agents, Anticholinergic Agents, Neurotransmitter Agents, Cholinergic Agents, Imidazoles, Sulfonium Derivatives, Cholinesterase substrates, Adjuvants, Anesthesia, Antihypertensive Agents, Central Nervous System Agents, Vasodilating Agents	approved, investigational	1
DB02447	3,8,9,10-tetrahydroxy-7-hydroxymethyl-6-oxa-1,3-diaza-spiro[4.5]decane-2,4-dione	Drug	0	experimental	1
DB03772	2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,5-Diol	Drug	0	experimental	1
DB02446	Glutamine hydroxamate	Drug	Amines, Hydroxy Acids, Amino Acids, Dicarboxylic, Hydroxylamines, Amino Acids, Peptides, and Proteins, Amino Acids, Acidic, Aspartate Aminotransferases, antagonists & inhibitors, Amino Acids	experimental	1
DB01115	Nifedipine	Drug	Calcium Channel Blockers (Dihydropyridine), Cytochrome P-450 Substrates, Cytochrome P-450 CYP3A7 Substrates, Cytochrome P-450 Enzyme Inhibitors, Adrenal Cortex Hormones, Agents causing hyperkalemia, Cytochrome P-450 CYP3A Inducers, Cytochrome P-450 CYP2B6 Inducers (strength unknown), BSEP/ABCB11 Substrates, Cardiovascular Agents, Cytochrome P-450 CYP3A4 Inhibitors (strength unknown), Cytochrome P-450 CYP3A4 Inducers (strength unknown), Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP1A2 Inhibitors (strength unknown), Tocolytic Agents, Cytochrome P-450 CYP2C9 Inducers (strength unknown), Drugs that are Mainly Renally Excreted, Cytochrome P-450 CYP2E1 Inhibitors (strength unknown), Calcium-Regulating Hormones and Agents, Cytochrome P-450 CYP2D6 Inhibitors (strength unknown), Antiarrhythmic agents, Cytochrome P-450 CYP2C8 Inhibitors (strength unknown), Selective Calcium Channel Blockers With Mainly Vascular Effects, Antihypertensive Agents Indicated for Hypertension, OATP1B1/SLCO1B1 Inhibitors, Cytochrome P-450 CYP3A5 Substrates, Cytochrome P-450 CYP2C8 Inhibitors, Cytochrome P-450 CYP3A4 Inducers, Reproductive Control Agents, Membrane Transport Modulators, Calcium Channel Blockers, Beta blocking agents and calcium channel blockers, Cytochrome P-450 CYP2A6 Substrates, Cytochrome P-450 CYP2D6 Substrates, Cytochrome P-450 CYP2D6 Inhibitors, Dihydropyridine Derivatives, QTc Prolonging Agents, BSEP/ABCB11 Inhibitors, Calcium Channel Blockers and Diuretics, Hypotensive Agents, Cytochrome P-450 CYP1A2 Inhibitors, Cytochrome P-450 Enzyme Inducers, Cytochrome P-450 CYP2C9 Inhibitors, Cytochrome P-450 CYP2B6 Inducers, Antihypertensive Agents, Bradycardia-Causing Agents, Pyridines, Cytochrome P-450 CYP2E1 Inhibitors, P-glycoprotein substrates, Moderate Risk QTc-Prolonging Agents, P-glycoprotein inducers, Dihydropyridines, Cytochrome P-450 CYP3A Inhibitors, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP2C9 Inhibitors (strength unknown), Cytochrome P-450 CYP1A2 Substrates, Cytochrome P-450 CYP3A4 Inhibitors, Cytochrome P-450 CYP2C9 Inducers, P-glycoprotein inhibitors, Vasodilating Agents	approved	8
DB01114	Chlorpheniramine	Drug	Cytochrome P-450 CYP2D6 Inhibitors, QTc Prolonging Agents, Cytochrome P-450 Substrates, Serotonin Agents, Substituted Alkylamines, Cytochrome P-450 CYP3A7 Substrates, Cytochrome P-450 Enzyme Inhibitors, OCT1 inhibitors, Antidepressive Agents, Cytochrome P-450 CYP3A4 Substrates, Serotonin Modulators, Histamine H1 Antagonists, Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome, Propylamine Derivatives, Cytochrome P-450 CYP2D6 Inhibitors (strength unknown), Antihistamines for Systemic Use, Antipruritics, Pyridines, Anti-Allergic Agents, Cytochrome P-450 CYP3A5 Substrates, Combined Inhibitors of Serotonin/Norepinephrine Reuptake, Dermatologicals, Moderate Risk QTc-Prolonging Agents, Neurotransmitter Agents, Histamine Antagonists, Cytochrome P-450 CYP3A Substrates, Central Nervous System Depressants, OCT2 Inhibitors, Cytochrome P-450 CYP2D6 Substrates, Histamine Agents	approved	4
DB03773	alpha-D-quinovopyranose	Drug	Carbohydrates, Deoxy Sugars	experimental	5
DB02445	2-Deoxy-2-Amino Glucitol-6-Phosphate	Drug	0	experimental	3
DB03774	Glutamyl Group	Drug	0	experimental	0
DB01113	Papaverine	Drug	Phosphodiesterase Inhibitors, QTc Prolonging Agents, Enzyme Inhibitors, Miscellaneous Vasodilatating Agents, Benzylisoquinolines, Isoquinolines, Genito Urinary System and Sex Hormones, Urologicals, Papaverine and Derivatives, Cardiovascular Agents, Hypotensive Agents, Moderate Risk QTc-Prolonging Agents, Urological Agents, Alkaloids, Heterocyclic Compounds, Fused-Ring, Opiate Alkaloids, Drugs Used in Erectile Dysfunction, Alimentary Tract and Metabolism, Drugs for Functional Gastrointestinal Disorders, Vasodilating Agents	approved, investigational	2
DB01119	Diazoxide	Drug	Gynecological Antiinfectives and Antiseptics, Genito Urinary System and Sex Hormones, Amides, Cardiovascular Agents, Hypotensive Agents, Direct Vasodilators, Heterocyclic Compounds, Fused-Ring, Drugs for Treatment of Hypoglycemia, Sulfur Compounds, Benzothiadiazines, Sulfonamides, Arteriolar Smooth Muscle, Agents Acting On, Diuretics, Antihypertensive Agents, Vasodilating Agents, Hyperglycemia-Associated Agents, Sulfones, Thiazide Derivatives	approved	5
DB02449	3-(1h-Indol-3-Yl)-2-[4-(4-Phenyl-Piperidin-1-Yl)-Benzenesulfonylamino]-Propionic Acid	Drug	0	experimental	1
